Teacher Quality,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Year,Level,Division,School,Poverty Level,Title1 Code,Percent of Inexperienced Teachers,Number of Inexperienced Teachers,Percent of Out-of-Field Teachers,Number of Out-of-Field Teachers,Percent of Out-of-Field and Inexperienced Teachers,Number of Out-of-Field and Inexperienced Teachers
2023 - 2024,SCH,Roanoke County Public Schools,Fort Lewis Elementary,Low Poverty,Non-Title I,4.5,1,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Glen Cove Elementary,Medium Poverty,All Schools,6.1,2,3,1,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Glen Cove Elementary,Medium Poverty,Non-Title I,6.1,2,3,1,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar Elementary,Medium Poverty,All Schools,3.4,1,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar Elementary,Medium Poverty,Non-Title I,3.4,1,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar High,Low Poverty,All Schools,3.6,2,1.8,1,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar High,Low Poverty,Non-Title I,3.6,2,1.8,1,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar Middle,Low Poverty,All Schools,8.5,4,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar Middle,Low Poverty,Non-Title I,8.5,4,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Green Valley Elementary,Medium Poverty,All Schools,7.5,3,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Green Valley Elementary,Medium Poverty,Non-Title I,7.5,3,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Herman L. Horn Elementary,Medium Poverty,All Schools,6.1,2,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Herman L. Horn Elementary,Medium Poverty,Title I,6.1,2,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Hidden Valley High,Low Poverty,All Schools,7.4,5,2.9,2,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Hidden Valley High,Low Poverty,Non-Title I,7.4,5,2.9,2,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Hidden Valley Middle,Low Poverty,All Schools,3.6,2,1.8,1,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Hidden Valley Middle,Low Poverty,Non-Title I,3.6,2,1.8,1,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Mason's Cove Elementary,Medium Poverty,All Schools,4.3,1,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Mason's Cove Elementary,Medium Poverty,Title I,4.3,1,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Mount Pleasant Elementary,Medium Poverty,All Schools,4,1,4,1,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Mount Pleasant Elementary,Medium Poverty,Title I,4,1,4,1,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Mountain View Elementary,Medium Poverty,All Schools,5.9,2,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Mountain View Elementary,Medium Poverty,Title I,5.9,2,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Northside High,Medium Poverty,All Schools,8.1,6,6.8,5,1.4,1
2023 - 2024,SCH,Roanoke County Public Schools,Northside High,Medium Poverty,Non-Title I,8.1,6,6.8,5,1.4,1
2023 - 2024,SCH,Roanoke County Public Schools,Northside Middle,Medium Poverty,All Schools,13.6,8,5.1,3,3.4,2
2023 - 2024,SCH,Roanoke County Public Schools,Northside Middle,Medium Poverty,Non-Title I,13.6,8,5.1,3,3.4,2
2023 - 2024,SCH,Roanoke County Public Schools,Oak Grove Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Oak Grove Elementary,Medium Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Penn Forest Elementary,Low Poverty,All Schools,6.5,2,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,Penn Forest Elementary,Low Poverty,Non-Title I,6.5,2,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,W.E. Cundiff Elementary,Medium Poverty,All Schools,2.4,1,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,W.E. Cundiff Elementary,Medium Poverty,Title I,2.4,1,0,0,0,0
2023 - 2024,SCH,Roanoke County Public Schools,William Byrd High,Medium Poverty,All Schools,12.5,11,3.4,3,2.3,2
2023 - 2024,SCH,Roanoke County Public Schools,William Byrd High,Medium Poverty,Non-Title I,12.5,11,3.4,3,2.3,2
2023 - 2024,SCH,Roanoke County Public Schools,William Byrd Middle,Medium Poverty,All Schools,12.5,9,6.9,5,2.8,2
2023 - 2024,SCH,Roanoke County Public Schools,William Byrd Middle,Medium Poverty,Non-Title I,12.5,9,6.9,5,2.8,2
2023 - 2024,SCH,Rockbridge County Public Schools,Central Elementary,Medium Poverty,All Schools,6.7,3,11.1,5,6.7,3
2023 - 2024,SCH,Rockbridge County Public Schools,Central Elementary,Medium Poverty,Title I,6.7,3,11.1,5,6.7,3
2023 - 2024,SCH,Rockbridge County Public Schools,Fairfield Elementary,Medium Poverty,All Schools,3,1,6.1,2,3,1
2023 - 2024,SCH,Rockbridge County Public Schools,Fairfield Elementary,Medium Poverty,Title I,3,1,6.1,2,3,1
2023 - 2024,SCH,Rockbridge County Public Schools,Maury River Middle,Medium Poverty,All Schools,10.7,6,16.1,9,8.9,5
2023 - 2024,SCH,Rockbridge County Public Schools,Maury River Middle,Medium Poverty,Non-Title I,10.7,6,16.1,9,8.9,5
2023 - 2024,SCH,Rockbridge County Public Schools,Mountain View Elementary,Medium Poverty,All Schools,5.3,1,5.3,1,5.3,1
2023 - 2024,SCH,Rockbridge County Public Schools,Mountain View Elementary,Medium Poverty,Title I,5.3,1,5.3,1,5.3,1
2023 - 2024,SCH,Rockbridge County Public Schools,Natural Bridge Elementary,Medium Poverty,All Schools,11.8,4,8.8,3,2.9,1
2023 - 2024,SCH,Rockbridge County Public Schools,Natural Bridge Elementary,Medium Poverty,Title I,11.8,4,8.8,3,2.9,1
2023 - 2024,SCH,Rockbridge County Public Schools,Rockbridge County High,Medium Poverty,All Schools,3.4,3,11.4,10,2.3,2
2023 - 2024,SCH,Rockbridge County Public Schools,Rockbridge County High,Medium Poverty,Non-Title I,3.4,3,11.4,10,2.3,2
2023 - 2024,SCH,Rockingham County Public Schools,Broadway High,Medium Poverty,All Schools,5.4,4,8.1,6,1.4,1
2023 - 2024,SCH,Rockingham County Public Schools,Broadway High,Medium Poverty,Non-Title I,5.4,4,8.1,6,1.4,1
2023 - 2024,SCH,Rockingham County Public Schools,Cub Run Elementary,Medium Poverty,All Schools,0,0,1.6,1,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Cub Run Elementary,Medium Poverty,Title I,0,0,1.6,1,0,0
2023 - 2024,SCH,Rockingham County Public Schools,East Rockingham High,Medium Poverty,All Schools,0,0,5.2,3,0,0
2023 - 2024,SCH,Rockingham County Public Schools,East Rockingham High,Medium Poverty,Non-Title I,0,0,5.2,3,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Elkton Elementary,Medium Poverty,All Schools,3.4,1,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Elkton Elementary,Medium Poverty,Title I,3.4,1,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Elkton Middle,Medium Poverty,All Schools,13.2,7,24.5,13,7.5,4
2023 - 2024,SCH,Rockingham County Public Schools,Elkton Middle,Medium Poverty,Non-Title I,13.2,7,24.5,13,7.5,4
2023 - 2024,SCH,Rockingham County Public Schools,Fulks Run Elementary,Medium Poverty,All Schools,5.3,1,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Fulks Run Elementary,Medium Poverty,Title I,5.3,1,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,J. Frank Hillyard Middle,Medium Poverty,All Schools,9.5,6,9.5,6,3.2,2
2023 - 2024,SCH,Rockingham County Public Schools,J. Frank Hillyard Middle,Medium Poverty,Non-Title I,9.5,6,9.5,6,3.2,2
2023 - 2024,SCH,Rockingham County Public Schools,John C. Myers Elementary,Medium Poverty,All Schools,2.6,1,2.6,1,2.6,1
2023 - 2024,SCH,Rockingham County Public Schools,John C. Myers Elementary,Medium Poverty,Title I,2.6,1,2.6,1,2.6,1
2023 - 2024,SCH,Rockingham County Public Schools,John W. Wayland Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,John W. Wayland Elementary,Medium Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Lacey Spring Elementary,Medium Poverty,All Schools,5,1,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Lacey Spring Elementary,Medium Poverty,Title I,5,1,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Linville-Edom Elementary,Medium Poverty,All Schools,4.3,1,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Linville-Edom Elementary,Medium Poverty,Title I,4.3,1,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,McGaheysville Elementary,Medium Poverty,All Schools,12.5,3,4.2,1,0,0
2023 - 2024,SCH,Rockingham County Public Schools,McGaheysville Elementary,Medium Poverty,Title I,12.5,3,4.2,1,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Montevideo Middle,Medium Poverty,All Schools,3.4,2,5.2,3,1.7,1
2023 - 2024,SCH,Rockingham County Public Schools,Montevideo Middle,Medium Poverty,Non-Title I,3.4,2,5.2,3,1.7,1
2023 - 2024,SCH,Rockingham County Public Schools,Mountain View Elementary,Medium Poverty,All Schools,0,0,8.3,3,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Mountain View Elementary,Medium Poverty,Title I,0,0,8.3,3,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Ottobine Elementary,Medium Poverty,All Schools,5.3,1,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Ottobine Elementary,Medium Poverty,Title I,5.3,1,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Peak View Elementary,Medium Poverty,All Schools,2.4,1,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Peak View Elementary,Medium Poverty,Non-Title I,2.4,1,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Plains Elementary,Medium Poverty,All Schools,5.1,2,5.1,2,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Plains Elementary,Medium Poverty,Title I,5.1,2,5.1,2,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Pleasant Valley Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Pleasant Valley Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,River Bend Elementary,Medium Poverty,All Schools,0,0,3.1,1,0,0
2023 - 2024,SCH,Rockingham County Public Schools,River Bend Elementary,Medium Poverty,Title I,0,0,3.1,1,0,0
2023 - 2024,SCH,Rockingham County Public Schools,South River Elementary,Medium Poverty,All Schools,9.4,3,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,South River Elementary,Medium Poverty,Title I,9.4,3,0,0,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Spotswood High,Medium Poverty,All Schools,1.4,1,2.7,2,1.4,1
2023 - 2024,SCH,Rockingham County Public Schools,Spotswood High,Medium Poverty,Non-Title I,1.4,1,2.7,2,1.4,1
2023 - 2024,SCH,Rockingham County Public Schools,Turner Ashby High,Low Poverty,All Schools,5.2,4,3.9,3,1.3,1
2023 - 2024,SCH,Rockingham County Public Schools,Turner Ashby High,Low Poverty,Non-Title I,5.2,4,3.9,3,1.3,1
2023 - 2024,SCH,Rockingham County Public Schools,Wilbur S. Pence Middle,Medium Poverty,All Schools,4.8,3,3.2,2,0,0
2023 - 2024,SCH,Rockingham County Public Schools,Wilbur S. Pence Middle,Medium Poverty,Non-Title I,4.8,3,3.2,2,0,0
2023 - 2024,SCH,Russell County Public Schools,Belfast Elementary,Medium Poverty,All Schools,0,0,6.3,1,0,0
2023 - 2024,SCH,Russell County Public Schools,Belfast Elementary,Medium Poverty,Title I,0,0,6.3,1,0,0
2023 - 2024,SCH,Russell County Public Schools,Castlewood Elementary,Medium Poverty,All Schools,0,0,4.2,1,0,0
2023 - 2024,SCH,Russell County Public Schools,Castlewood Elementary,Medium Poverty,Title I,0,0,4.2,1,0,0
2023 - 2024,SCH,Russell County Public Schools,Castlewood High,Medium Poverty,All Schools,0,0,10.3,3,0,0
2023 - 2024,SCH,Russell County Public Schools,Castlewood High,Medium Poverty,Non-Title I,0,0,10.3,3,0,0
2023 - 2024,SCH,Russell County Public Schools,Honaker Elementary,Medium Poverty,All Schools,1.9,1,5.8,3,0,0
2023 - 2024,SCH,Russell County Public Schools,Honaker Elementary,Medium Poverty,Title I,1.9,1,5.8,3,0,0
2023 - 2024,SCH,Russell County Public Schools,Honaker High,Medium Poverty,All Schools,2.2,1,2.2,1,0,0
2023 - 2024,SCH,Russell County Public Schools,Honaker High,Medium Poverty,Non-Title I,2.2,1,2.2,1,0,0
2023 - 2024,SCH,Russell County Public Schools,Lebanon Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Russell County Public Schools,Lebanon Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Russell County Public Schools,Lebanon High,Medium Poverty,All Schools,4.4,2,17.8,8,0,0
2023 - 2024,SCH,Russell County Public Schools,Lebanon High,Medium Poverty,Non-Title I,4.4,2,17.8,8,0,0
2023 - 2024,SCH,Russell County Public Schools,Lebanon Middle,Medium Poverty,All Schools,17.9,5,14.3,4,10.7,3
2023 - 2024,SCH,Russell County Public Schools,Lebanon Middle,Medium Poverty,Title I,17.9,5,14.3,4,10.7,3
2023 - 2024,SCH,Russell County Public Schools,Lebanon Primary,Medium Poverty,All Schools,3.7,1,3.7,1,3.7,1
2023 - 2024,SCH,Russell County Public Schools,Lebanon Primary,Medium Poverty,Title I,3.7,1,3.7,1,3.7,1
2023 - 2024,SCH,Salem City Public Schools,Andrew Lewis Middle,Medium Poverty,All Schools,1,1,3.1,3,0,0
2023 - 2024,SCH,Salem City Public Schools,Andrew Lewis Middle,Medium Poverty,Non-Title I,1,1,3.1,3,0,0
2023 - 2024,SCH,Salem City Public Schools,East Salem Elementary,Medium Poverty,All Schools,0,0,2.9,1,0,0
2023 - 2024,SCH,Salem City Public Schools,East Salem Elementary,Medium Poverty,Title I,0,0,2.9,1,0,0
2023 - 2024,SCH,Salem City Public Schools,G.W. Carver Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Salem City Public Schools,G.W. Carver Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Salem City Public Schools,Salem High,Medium Poverty,All Schools,0,0,8.9,12,0,0
2023 - 2024,SCH,Salem City Public Schools,Salem High,Medium Poverty,Non-Title I,0,0,8.9,12,0,0
2023 - 2024,SCH,Salem City Public Schools,South Salem Elementary,Medium Poverty,All Schools,2.9,1,5.9,2,2.9,1
2023 - 2024,SCH,Salem City Public Schools,South Salem Elementary,Medium Poverty,Non-Title I,2.9,1,5.9,2,2.9,1
2023 - 2024,SCH,Salem City Public Schools,West Salem Elementary,Medium Poverty,All Schools,2.9,1,0,0,0,0
2023 - 2024,SCH,Salem City Public Schools,West Salem Elementary,Medium Poverty,Non-Title I,2.9,1,0,0,0,0
2023 - 2024,SCH,Scott County Public Schools,Duffield-Pattonsville Primary,Medium Poverty,All Schools,16,4,4,1,4,1
2023 - 2024,SCH,Scott County Public Schools,Duffield-Pattonsville Primary,Medium Poverty,Title I,16,4,4,1,4,1
2023 - 2024,SCH,Scott County Public Schools,Dungannon Elementary,Medium Poverty,All Schools,9.5,2,14.3,3,4.8,1
2023 - 2024,SCH,Scott County Public Schools,Dungannon Elementary,Medium Poverty,Title I,9.5,2,14.3,3,4.8,1
2023 - 2024,SCH,Scott County Public Schools,Gate City High,Medium Poverty,All Schools,4,2,4,2,0,0
2023 - 2024,SCH,Scott County Public Schools,Gate City High,Medium Poverty,Title I,4,2,4,2,0,0
2023 - 2024,SCH,Scott County Public Schools,Gate City Middle,Medium Poverty,All Schools,2.9,1,8.6,3,0,0
2023 - 2024,SCH,Scott County Public Schools,Gate City Middle,Medium Poverty,Title I,2.9,1,8.6,3,0,0
2023 - 2024,SCH,Scott County Public Schools,Hilton Elementary,Medium Poverty,All Schools,0,0,15,3,0,0
2023 - 2024,SCH,Scott County Public Schools,Hilton Elementary,Medium Poverty,Title I,0,0,15,3,0,0
2023 - 2024,SCH,Scott County Public Schools,Nickelsville Elementary,Medium Poverty,All Schools,14.3,4,3.6,1,3.6,1
2023 - 2024,SCH,Scott County Public Schools,Nickelsville Elementary,Medium Poverty,Title I,14.3,4,3.6,1,3.6,1
2023 - 2024,SCH,Scott County Public Schools,Rye Cove High,Medium Poverty,All Schools,7.7,2,3.8,1,0,0
2023 - 2024,SCH,Scott County Public Schools,Rye Cove High,Medium Poverty,Title I,7.7,2,3.8,1,0,0
2023 - 2024,SCH,Scott County Public Schools,Rye Cove Intermediate,Medium Poverty,All Schools,0,0,12.5,2,0,0
2023 - 2024,SCH,Scott County Public Schools,Rye Cove Intermediate,Medium Poverty,Title I,0,0,12.5,2,0,0
2023 - 2024,SCH,Scott County Public Schools,Shoemaker Elementary,Medium Poverty,All Schools,9.5,4,0,0,0,0
2023 - 2024,SCH,Scott County Public Schools,Shoemaker Elementary,Medium Poverty,Title I,9.5,4,0,0,0,0
2023 - 2024,SCH,Scott County Public Schools,Twin Springs High,Medium Poverty,All Schools,3.4,1,13.8,4,0,0
2023 - 2024,SCH,Scott County Public Schools,Twin Springs High,Medium Poverty,Title I,3.4,1,13.8,4,0,0
2023 - 2024,SCH,Scott County Public Schools,Weber City Elementary,Medium Poverty,All Schools,3.3,1,0,0,0,0
2023 - 2024,SCH,Scott County Public Schools,Weber City Elementary,Medium Poverty,Title I,3.3,1,0,0,0,0
2023 - 2024,SCH,Scott County Public Schools,Yuma Elementary,Medium Poverty,All Schools,5.3,1,0,0,0,0
2023 - 2024,SCH,Scott County Public Schools,Yuma Elementary,Medium Poverty,Non-Title I,5.3,1,0,0,0,0
2023 - 2024,SCH,Shenandoah County Public Schools,Ashby-Lee Elementary,Medium Poverty,All Schools,0,0,6.7,3,0,0
2023 - 2024,SCH,Shenandoah County Public Schools,Ashby-Lee Elementary,Medium Poverty,Title I,0,0,6.7,3,0,0
2023 - 2024,SCH,Shenandoah County Public Schools,Central High,Medium Poverty,All Schools,0,0,10.9,6,0,0
2023 - 2024,SCH,Shenandoah County Public Schools,Central High,Medium Poverty,Non-Title I,0,0,10.9,6,0,0
2023 - 2024,SCH,Shenandoah County Public Schools,North Fork Middle,Medium Poverty,All Schools,0,0,8.1,3,0,0
2023 - 2024,SCH,Shenandoah County Public Schools,North Fork Middle,Medium Poverty,Non-Title I,0,0,8.1,3,0,0
2023 - 2024,SCH,Shenandoah County Public Schools,Peter Muhlenberg Middle,Medium Poverty,All Schools,0,0,7.3,3,0,0
2023 - 2024,SCH,Shenandoah County Public Schools,Peter Muhlenberg Middle,Medium Poverty,Non-Title I,0,0,7.3,3,0,0
2023 - 2024,SCH,Shenandoah County Public Schools,Sandy Hook Elementary,Medium Poverty,All Schools,0,0,3.5,2,0,0
2023 - 2024,SCH,Shenandoah County Public Schools,Sandy Hook Elementary,Medium Poverty,Title I,0,0,3.5,2,0,0
2023 - 2024,SCH,Shenandoah County Public Schools,Signal Knob Middle,Medium Poverty,All Schools,0,0,14,6,0,0
2023 - 2024,SCH,Shenandoah County Public Schools,Signal Knob Middle,Medium Poverty,Non-Title I,0,0,14,6,0,0
2023 - 2024,SCH,Shenandoah County Public Schools,Stonewall Jackson High,Medium Poverty,All Schools,0,0,6.8,3,0,0
2023 - 2024,SCH,Shenandoah County Public Schools,Stonewall Jackson High,Medium Poverty,Non-Title I,0,0,6.8,3,0,0
2023 - 2024,SCH,Shenandoah County Public Schools,Strasburg High,Medium Poverty,All Schools,0,0,6.1,3,0,0
2023 - 2024,SCH,Shenandoah County Public Schools,Strasburg High,Medium Poverty,Non-Title I,0,0,6.1,3,0,0
2023 - 2024,SCH,Shenandoah County Public Schools,W.W. Robinson Elementary,Medium Poverty,All Schools,0,0,5.2,4,0,0
2023 - 2024,SCH,Shenandoah County Public Schools,W.W. Robinson Elementary,Medium Poverty,Title I,0,0,5.2,4,0,0
2023 - 2024,SCH,Smyth County Public Schools,Atkins Elementary,High Poverty,All Schools,0,0,4.3,1,0,0
2023 - 2024,SCH,Smyth County Public Schools,Atkins Elementary,High Poverty,Title I,0,0,4.3,1,0,0
2023 - 2024,SCH,Smyth County Public Schools,Chilhowie Elementary,High Poverty,All Schools,0,0,2.1,1,0,0
2023 - 2024,SCH,Smyth County Public Schools,Chilhowie Elementary,High Poverty,Title I,0,0,2.1,1,0,0
2023 - 2024,SCH,Smyth County Public Schools,Chilhowie High,High Poverty,All Schools,0,0,10.9,7,0,0
2023 - 2024,SCH,Smyth County Public Schools,Chilhowie High,High Poverty,Non-Title I,0,0,10.9,7,0,0
2023 - 2024,SCH,Smyth County Public Schools,Chilhowie Middle,High Poverty,All Schools,2.3,1,11.4,5,0,0
2023 - 2024,SCH,Smyth County Public Schools,Chilhowie Middle,High Poverty,Non-Title I,2.3,1,11.4,5,0,0
2023 - 2024,SCH,Smyth County Public Schools,Marion Elementary,High Poverty,All Schools,0,0,3.2,1,0,0
2023 - 2024,SCH,Smyth County Public Schools,Marion Elementary,High Poverty,Title I,0,0,3.2,1,0,0
2023 - 2024,SCH,Smyth County Public Schools,Marion Middle,High Poverty,All Schools,3.2,2,15.9,10,1.6,1
2023 - 2024,SCH,Smyth County Public Schools,Marion Middle,High Poverty,Non-Title I,3.2,2,15.9,10,1.6,1
2023 - 2024,SCH,Smyth County Public Schools,Marion Senior High,High Poverty,All Schools,2.2,2,13,12,2.2,2
2023 - 2024,SCH,Smyth County Public Schools,Marion Senior High,High Poverty,Non-Title I,2.2,2,13,12,2.2,2
2023 - 2024,SCH,Smyth County Public Schools,Northwood High,High Poverty,All Schools,0,0,7.7,3,0,0
2023 - 2024,SCH,Smyth County Public Schools,Northwood High,High Poverty,Non-Title I,0,0,7.7,3,0,0
2023 - 2024,SCH,Smyth County Public Schools,Northwood Middle,High Poverty,All Schools,2.6,1,10.5,4,0,0
2023 - 2024,SCH,Smyth County Public Schools,Northwood Middle,High Poverty,Non-Title I,2.6,1,10.5,4,0,0
2023 - 2024,SCH,Smyth County Public Schools,Oak Point Elementary,High Poverty,All Schools,2.2,1,6.7,3,0,0
2023 - 2024,SCH,Smyth County Public Schools,Oak Point Elementary,High Poverty,Title I,2.2,1,6.7,3,0,0
2023 - 2024,SCH,Smyth County Public Schools,Rich Valley Elementary,High Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Smyth County Public Schools,Rich Valley Elementary,High Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Smyth County Public Schools,Saltville Elementary,High Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Smyth County Public Schools,Saltville Elementary,High Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Smyth County Public Schools,Sugar Grove Elementary,High Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Smyth County Public Schools,Sugar Grove Elementary,High Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Southampton County Public Schools,Capron Elementary,Medium Poverty,All Schools,4.5,1,18.2,4,0,0
2023 - 2024,SCH,Southampton County Public Schools,Capron Elementary,Medium Poverty,Title I,4.5,1,18.2,4,0,0
2023 - 2024,SCH,Southampton County Public Schools,Meherrin Elementary,Medium Poverty,All Schools,8,2,12,3,0,0
2023 - 2024,SCH,Southampton County Public Schools,Meherrin Elementary,Medium Poverty,Title I,8,2,12,3,0,0
2023 - 2024,SCH,Southampton County Public Schools,Nottoway Elementary,Medium Poverty,All Schools,9.5,2,9.5,2,0,0
2023 - 2024,SCH,Southampton County Public Schools,Nottoway Elementary,Medium Poverty,Title I,9.5,2,9.5,2,0,0
2023 - 2024,SCH,Southampton County Public Schools,Riverdale Elementary,Medium Poverty,All Schools,0,0,12.8,5,0,0
2023 - 2024,SCH,Southampton County Public Schools,Riverdale Elementary,Medium Poverty,Title I,0,0,12.8,5,0,0
2023 - 2024,SCH,Southampton County Public Schools,Southampton High,Medium Poverty,All Schools,6.5,3,23.9,11,2.2,1
2023 - 2024,SCH,Southampton County Public Schools,Southampton High,Medium Poverty,Non-Title I,6.5,3,23.9,11,2.2,1
2023 - 2024,SCH,Southampton County Public Schools,Southampton Middle,Medium Poverty,All Schools,2.8,1,41.7,15,0,0
2023 - 2024,SCH,Southampton County Public Schools,Southampton Middle,Medium Poverty,Non-Title I,2.8,1,41.7,15,0,0
2023 - 2024,SCH,Spotsylvania County Public Schools,Battlefield Elementary,Medium Poverty,All Schools,7,3,16.3,7,4.7,2
2023 - 2024,SCH,Spotsylvania County Public Schools,Battlefield Elementary,Medium Poverty,Title I,7,3,16.3,7,4.7,2
2023 - 2024,SCH,Spotsylvania County Public Schools,Battlefield Middle,Medium Poverty,All Schools,11.9,7,23.7,14,8.5,5
2023 - 2024,SCH,Spotsylvania County Public Schools,Battlefield Middle,Medium Poverty,Non-Title I,11.9,7,23.7,14,8.5,5
2023 - 2024,SCH,Spotsylvania County Public Schools,Berkeley Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Spotsylvania County Public Schools,Berkeley Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Spotsylvania County Public Schools,Brock Road Elementary,Medium Poverty,All Schools,6.4,3,17,8,2.1,1
2023 - 2024,SCH,Spotsylvania County Public Schools,Brock Road Elementary,Medium Poverty,Non-Title I,6.4,3,17,8,2.1,1
2023 - 2024,SCH,Spotsylvania County Public Schools,Cedar Forest Elementary,Medium Poverty,All Schools,7.7,4,11.5,6,5.8,3
2023 - 2024,SCH,Spotsylvania County Public Schools,Cedar Forest Elementary,Medium Poverty,Title I,7.7,4,11.5,6,5.8,3
2023 - 2024,SCH,Spotsylvania County Public Schools,Chancellor Elementary,Low Poverty,All Schools,0,0,6.7,2,0,0
2023 - 2024,SCH,Spotsylvania County Public Schools,Chancellor Elementary,Low Poverty,Non-Title I,0,0,6.7,2,0,0
2023 - 2024,SCH,Spotsylvania County Public Schools,Chancellor High,Medium Poverty,All Schools,6.3,6,15.8,15,4.2,4
2023 - 2024,SCH,Spotsylvania County Public Schools,Chancellor High,Medium Poverty,Non-Title I,6.3,6,15.8,15,4.2,4
2023 - 2024,SCH,Spotsylvania County Public Schools,Chancellor Middle,Medium Poverty,All Schools,5.6,4,16.7,12,2.8,2
2023 - 2024,SCH,Spotsylvania County Public Schools,Chancellor Middle,Medium Poverty,Non-Title I,5.6,4,16.7,12,2.8,2
2023 - 2024,SCH,Spotsylvania County Public Schools,Courthouse Road Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Spotsylvania County Public Schools,Courthouse Road Elementary,Medium Poverty,Non-Title I,0,0,0,0,0,0
2023 - 2024,SCH,Spotsylvania County Public Schools,Courtland Elementary,Medium Poverty,All Schools,2.6,1,5.1,2,0,0
2023 - 2024,SCH,Spotsylvania County Public Schools,Courtland Elementary,Medium Poverty,Non-Title I,2.6,1,5.1,2,0,0
