Teacher Educational Attainment,,,,,
,,,,,
,,,,,
Year,Level,Division,School,Year Percent,Type
2023 - 2024,SCH,Richmond City Public Schools,Richmond High School for the Arts,43,Bachelor's Degree
2023 - 2024,SCH,Richmond City Public Schools,Richmond High School for the Arts,46,Master's Degree
2023 - 2024,SCH,Richmond City Public Schools,Richmond High School for the Arts,4,Doctoral Degree
2023 - 2024,SCH,Richmond City Public Schools,Richmond Virtual Academy,47,Bachelor's Degree
2023 - 2024,SCH,Richmond City Public Schools,Richmond Virtual Academy,40,Master's Degree
2023 - 2024,SCH,Richmond City Public Schools,Richmond Virtual Academy,7,Doctoral Degree
2023 - 2024,SCH,Richmond City Public Schools,River City Middle,52,Bachelor's Degree
2023 - 2024,SCH,Richmond City Public Schools,River City Middle,43,Master's Degree
2023 - 2024,SCH,Richmond City Public Schools,River City Middle,0,Doctoral Degree
2023 - 2024,SCH,Richmond City Public Schools,Southampton Elementary,37,Bachelor's Degree
2023 - 2024,SCH,Richmond City Public Schools,Southampton Elementary,49,Master's Degree
2023 - 2024,SCH,Richmond City Public Schools,Southampton Elementary,0,Doctoral Degree
2023 - 2024,SCH,Richmond City Public Schools,Swansboro Elementary,50,Bachelor's Degree
2023 - 2024,SCH,Richmond City Public Schools,Swansboro Elementary,40,Master's Degree
2023 - 2024,SCH,Richmond City Public Schools,Swansboro Elementary,10,Doctoral Degree
2023 - 2024,SCH,Richmond City Public Schools,Thomas C. Boushall Middle,42,Bachelor's Degree
2023 - 2024,SCH,Richmond City Public Schools,Thomas C. Boushall Middle,51,Master's Degree
2023 - 2024,SCH,Richmond City Public Schools,Thomas C. Boushall Middle,5,Doctoral Degree
2023 - 2024,SCH,Richmond City Public Schools,Thomas H. Henderson Middle,40,Bachelor's Degree
2023 - 2024,SCH,Richmond City Public Schools,Thomas H. Henderson Middle,51,Master's Degree
2023 - 2024,SCH,Richmond City Public Schools,Thomas H. Henderson Middle,2,Doctoral Degree
2023 - 2024,SCH,Richmond City Public Schools,Thomas Jefferson High,31,Bachelor's Degree
2023 - 2024,SCH,Richmond City Public Schools,Thomas Jefferson High,67,Master's Degree
2023 - 2024,SCH,Richmond City Public Schools,Thomas Jefferson High,0,Doctoral Degree
2023 - 2024,SCH,Richmond City Public Schools,Westover Hills Elementary,40,Bachelor's Degree
2023 - 2024,SCH,Richmond City Public Schools,Westover Hills Elementary,60,Master's Degree
2023 - 2024,SCH,Richmond City Public Schools,Westover Hills Elementary,0,Doctoral Degree
2023 - 2024,SCH,Richmond City Public Schools,William Fox Elementary,17,Bachelor's Degree
2023 - 2024,SCH,Richmond City Public Schools,William Fox Elementary,83,Master's Degree
2023 - 2024,SCH,Richmond City Public Schools,William Fox Elementary,0,Doctoral Degree
2023 - 2024,SCH,Richmond City Public Schools,Woodville Elementary,42,Bachelor's Degree
2023 - 2024,SCH,Richmond City Public Schools,Woodville Elementary,27,Master's Degree
2023 - 2024,SCH,Richmond City Public Schools,Woodville Elementary,0,Doctoral Degree
2023 - 2024,SCH,Richmond County Public Schools,Rappahannock High,56,Bachelor's Degree
2023 - 2024,SCH,Richmond County Public Schools,Rappahannock High,40,Master's Degree
2023 - 2024,SCH,Richmond County Public Schools,Rappahannock High,0,Doctoral Degree
2023 - 2024,SCH,Richmond County Public Schools,Richmond County Elementary,57,Bachelor's Degree
2023 - 2024,SCH,Richmond County Public Schools,Richmond County Elementary,38,Master's Degree
2023 - 2024,SCH,Richmond County Public Schools,Richmond County Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Addison Aerospace Magnet Middle,43,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Addison Aerospace Magnet Middle,49,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Addison Aerospace Magnet Middle,4,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Breckinridge Middle,51,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Breckinridge Middle,45,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Breckinridge Middle,0,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Crystal Spring Elementary,56,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Crystal Spring Elementary,41,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Crystal Spring Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Fairview Elementary,79,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Fairview Elementary,18,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Fairview Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Fallon Park Elementary,56,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Fallon Park Elementary,39,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Fallon Park Elementary,2,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Fishburn Park Elementary,39,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Fishburn Park Elementary,52,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Fishburn Park Elementary,3,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Garden City Elementary,56,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Garden City Elementary,35,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Garden City Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Grandin Court Elementary,48,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Grandin Court Elementary,38,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Grandin Court Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Highland Park Elementary,53,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Highland Park Elementary,42,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Highland Park Elementary,3,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Hurt Park Elementary,41,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Hurt Park Elementary,59,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Hurt Park Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,James Madison Middle,50,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,James Madison Middle,43,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,James Madison Middle,0,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,John P. Fishwick Middle,54,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,John P. Fishwick Middle,42,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,John P. Fishwick Middle,2,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Lincoln Terrace Elementary,55,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Lincoln Terrace Elementary,42,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Lincoln Terrace Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Monterey Elementary,61,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Monterey Elementary,37,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Monterey Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Morningside Elementary,45,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Morningside Elementary,48,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Morningside Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Patrick Henry High,43,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Patrick Henry High,50,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Patrick Henry High,1,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Preston Park Elementary,49,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Preston Park Elementary,49,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Preston Park Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Roanoke Academy For Mathematics & Science Elementary,58,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Roanoke Academy For Mathematics & Science Elementary,35,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Roanoke Academy For Mathematics & Science Elementary,2,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Round Hill Elementary,64,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Round Hill Elementary,33,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Round Hill Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Virginia Heights Elementary,53,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Virginia Heights Elementary,43,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Virginia Heights Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Wasena Elementary,59,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Wasena Elementary,37,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Wasena Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Westside Elementary,56,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Westside Elementary,39,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Westside Elementary,4,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,William Fleming High,38,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,William Fleming High,53,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,William Fleming High,1,Doctoral Degree
2023 - 2024,SCH,Roanoke City Public Schools,Woodrow Wilson Middle,46,Bachelor's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Woodrow Wilson Middle,51,Master's Degree
2023 - 2024,SCH,Roanoke City Public Schools,Woodrow Wilson Middle,2,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Back Creek Elementary,52,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Back Creek Elementary,48,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Back Creek Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Bonsack Elementary,55,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Bonsack Elementary,45,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Bonsack Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Burlington Elementary,53,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Burlington Elementary,43,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Burlington Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring Elementary,46,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring Elementary,54,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring High,33,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring High,66,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring High,0,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring Middle,47,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring Middle,47,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Cave Spring Middle,4,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Clearbrook Elementary,41,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Clearbrook Elementary,55,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Clearbrook Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Fort Lewis Elementary,33,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Fort Lewis Elementary,67,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Fort Lewis Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Glen Cove Elementary,53,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Glen Cove Elementary,47,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Glen Cove Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar Elementary,61,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar Elementary,39,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar High,49,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar High,47,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar High,2,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar Middle,61,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar Middle,37,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Glenvar Middle,2,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Green Valley Elementary,64,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Green Valley Elementary,33,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Green Valley Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Herman L. Horn Elementary,51,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Herman L. Horn Elementary,49,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Herman L. Horn Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Hidden Valley High,32,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Hidden Valley High,66,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Hidden Valley High,1,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Hidden Valley Middle,42,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Hidden Valley Middle,51,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Hidden Valley Middle,4,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Mason's Cove Elementary,33,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Mason's Cove Elementary,63,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Mason's Cove Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Mount Pleasant Elementary,56,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Mount Pleasant Elementary,41,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Mount Pleasant Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Mountain View Elementary,36,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Mountain View Elementary,61,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Mountain View Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Northside High,42,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Northside High,58,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Northside High,0,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Northside Middle,44,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Northside Middle,47,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Northside Middle,6,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Oak Grove Elementary,59,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Oak Grove Elementary,38,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Oak Grove Elementary,3,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,Penn Forest Elementary,55,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Penn Forest Elementary,42,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,Penn Forest Elementary,0,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,W.E. Cundiff Elementary,48,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,W.E. Cundiff Elementary,50,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,W.E. Cundiff Elementary,2,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,William Byrd High,36,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,William Byrd High,61,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,William Byrd High,1,Doctoral Degree
2023 - 2024,SCH,Roanoke County Public Schools,William Byrd Middle,49,Bachelor's Degree
2023 - 2024,SCH,Roanoke County Public Schools,William Byrd Middle,44,Master's Degree
2023 - 2024,SCH,Roanoke County Public Schools,William Byrd Middle,3,Doctoral Degree
2023 - 2024,SCH,Rockbridge County Public Schools,Central Elementary,40,Bachelor's Degree
2023 - 2024,SCH,Rockbridge County Public Schools,Central Elementary,51,Master's Degree
2023 - 2024,SCH,Rockbridge County Public Schools,Central Elementary,0,Doctoral Degree
2023 - 2024,SCH,Rockbridge County Public Schools,Fairfield Elementary,35,Bachelor's Degree
2023 - 2024,SCH,Rockbridge County Public Schools,Fairfield Elementary,56,Master's Degree
2023 - 2024,SCH,Rockbridge County Public Schools,Fairfield Elementary,0,Doctoral Degree
2023 - 2024,SCH,Rockbridge County Public Schools,Maury River Middle,41,Bachelor's Degree
2023 - 2024,SCH,Rockbridge County Public Schools,Maury River Middle,51,Master's Degree
2023 - 2024,SCH,Rockbridge County Public Schools,Maury River Middle,0,Doctoral Degree
2023 - 2024,SCH,Rockbridge County Public Schools,Mountain View Elementary,45,Bachelor's Degree
2023 - 2024,SCH,Rockbridge County Public Schools,Mountain View Elementary,40,Master's Degree
2023 - 2024,SCH,Rockbridge County Public Schools,Mountain View Elementary,10,Doctoral Degree
2023 - 2024,SCH,Rockbridge County Public Schools,Natural Bridge Elementary,57,Bachelor's Degree
2023 - 2024,SCH,Rockbridge County Public Schools,Natural Bridge Elementary,34,Master's Degree
2023 - 2024,SCH,Rockbridge County Public Schools,Natural Bridge Elementary,3,Doctoral Degree
2023 - 2024,SCH,Rockbridge County Public Schools,Rockbridge County High,39,Bachelor's Degree
2023 - 2024,SCH,Rockbridge County Public Schools,Rockbridge County High,51,Master's Degree
2023 - 2024,SCH,Rockbridge County Public Schools,Rockbridge County High,2,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,Broadway High,45,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Broadway High,54,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Broadway High,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,Cub Run Elementary,53,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Cub Run Elementary,45,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Cub Run Elementary,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,East Rockingham High,44,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,East Rockingham High,55,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,East Rockingham High,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,Elkton Elementary,42,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Elkton Elementary,58,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Elkton Elementary,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,Elkton Middle,52,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Elkton Middle,41,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Elkton Middle,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,Fulks Run Elementary,50,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Fulks Run Elementary,50,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Fulks Run Elementary,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,J. Frank Hillyard Middle,51,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,J. Frank Hillyard Middle,46,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,J. Frank Hillyard Middle,1,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,John C. Myers Elementary,41,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,John C. Myers Elementary,54,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,John C. Myers Elementary,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,John W. Wayland Elementary,44,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,John W. Wayland Elementary,56,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,John W. Wayland Elementary,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,Lacey Spring Elementary,52,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Lacey Spring Elementary,43,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Lacey Spring Elementary,5,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,Linville-Edom Elementary,42,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Linville-Edom Elementary,58,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Linville-Edom Elementary,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,McGaheysville Elementary,56,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,McGaheysville Elementary,44,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,McGaheysville Elementary,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,Montevideo Middle,52,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Montevideo Middle,48,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Montevideo Middle,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,Mountain View Elementary,44,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Mountain View Elementary,54,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Mountain View Elementary,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,Ottobine Elementary,65,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Ottobine Elementary,35,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Ottobine Elementary,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,Peak View Elementary,50,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Peak View Elementary,50,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Peak View Elementary,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,Plains Elementary,49,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Plains Elementary,49,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Plains Elementary,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,Pleasant Valley Elementary,42,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Pleasant Valley Elementary,58,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Pleasant Valley Elementary,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,River Bend Elementary,56,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,River Bend Elementary,44,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,River Bend Elementary,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,South River Elementary,45,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,South River Elementary,55,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,South River Elementary,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,Spotswood High,42,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Spotswood High,55,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Spotswood High,1,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,Turner Ashby High,53,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Turner Ashby High,47,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Turner Ashby High,0,Doctoral Degree
2023 - 2024,SCH,Rockingham County Public Schools,Wilbur S. Pence Middle,47,Bachelor's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Wilbur S. Pence Middle,53,Master's Degree
2023 - 2024,SCH,Rockingham County Public Schools,Wilbur S. Pence Middle,0,Doctoral Degree
2023 - 2024,SCH,Russell County Public Schools,Belfast Elementary,53,Bachelor's Degree
2023 - 2024,SCH,Russell County Public Schools,Belfast Elementary,41,Master's Degree
2023 - 2024,SCH,Russell County Public Schools,Belfast Elementary,6,Doctoral Degree
2023 - 2024,SCH,Russell County Public Schools,Castlewood Elementary,77,Bachelor's Degree
2023 - 2024,SCH,Russell County Public Schools,Castlewood Elementary,23,Master's Degree
2023 - 2024,SCH,Russell County Public Schools,Castlewood Elementary,0,Doctoral Degree
2023 - 2024,SCH,Russell County Public Schools,Castlewood High,52,Bachelor's Degree
2023 - 2024,SCH,Russell County Public Schools,Castlewood High,48,Master's Degree
2023 - 2024,SCH,Russell County Public Schools,Castlewood High,0,Doctoral Degree
2023 - 2024,SCH,Russell County Public Schools,Honaker Elementary,57,Bachelor's Degree
2023 - 2024,SCH,Russell County Public Schools,Honaker Elementary,43,Master's Degree
2023 - 2024,SCH,Russell County Public Schools,Honaker Elementary,0,Doctoral Degree
2023 - 2024,SCH,Russell County Public Schools,Honaker High,56,Bachelor's Degree
2023 - 2024,SCH,Russell County Public Schools,Honaker High,42,Master's Degree
2023 - 2024,SCH,Russell County Public Schools,Honaker High,0,Doctoral Degree
2023 - 2024,SCH,Russell County Public Schools,Lebanon Elementary,63,Bachelor's Degree
2023 - 2024,SCH,Russell County Public Schools,Lebanon Elementary,33,Master's Degree
2023 - 2024,SCH,Russell County Public Schools,Lebanon Elementary,0,Doctoral Degree
2023 - 2024,SCH,Russell County Public Schools,Lebanon High,62,Bachelor's Degree
2023 - 2024,SCH,Russell County Public Schools,Lebanon High,36,Master's Degree
2023 - 2024,SCH,Russell County Public Schools,Lebanon High,0,Doctoral Degree
2023 - 2024,SCH,Russell County Public Schools,Lebanon Middle,67,Bachelor's Degree
2023 - 2024,SCH,Russell County Public Schools,Lebanon Middle,33,Master's Degree
2023 - 2024,SCH,Russell County Public Schools,Lebanon Middle,0,Doctoral Degree
2023 - 2024,SCH,Russell County Public Schools,Lebanon Primary,62,Bachelor's Degree
2023 - 2024,SCH,Russell County Public Schools,Lebanon Primary,34,Master's Degree
2023 - 2024,SCH,Russell County Public Schools,Lebanon Primary,0,Doctoral Degree
2023 - 2024,SCH,Salem City Public Schools,Andrew Lewis Middle,45,Bachelor's Degree
2023 - 2024,SCH,Salem City Public Schools,Andrew Lewis Middle,52,Master's Degree
2023 - 2024,SCH,Salem City Public Schools,Andrew Lewis Middle,1,Doctoral Degree
2023 - 2024,SCH,Salem City Public Schools,East Salem Elementary,44,Bachelor's Degree
2023 - 2024,SCH,Salem City Public Schools,East Salem Elementary,56,Master's Degree
2023 - 2024,SCH,Salem City Public Schools,East Salem Elementary,0,Doctoral Degree
2023 - 2024,SCH,Salem City Public Schools,G.W. Carver Elementary,39,Bachelor's Degree
2023 - 2024,SCH,Salem City Public Schools,G.W. Carver Elementary,61,Master's Degree
2023 - 2024,SCH,Salem City Public Schools,G.W. Carver Elementary,0,Doctoral Degree
2023 - 2024,SCH,Salem City Public Schools,Salem High,36,Bachelor's Degree
